domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Creative Arts,Karnataka,Semi-Urban,High,1,0,0,10,8,3,4,4,5
Creative Arts,Gujarat,Semi-Urban,High,0,0,0,8,18,7,8,1,4
Business,Tamil Nadu,Semi-Urban,Medium,0,0,1,7,13,3,0,7,0
Skilled Trades,Delhi,Urban,High,0,0,0,9,6,23,1,3,0
Technology,Uttar Pradesh,Semi-Urban,High,5,136,2,6,21,1,2,4,1
Skilled Trades,Delhi,Urban,High,0,0,0,10,1,21,6,3,3
Data Science,Tamil Nadu,Rural,Low,3,93,2,5,23,0,0,4,2
Creative Arts,Odisha,Semi-Urban,Medium,1,0,0,13,10,8,4,2,2
Business,Rajasthan,Urban,Medium,0,0,1,8,13,3,4,3,1
Business,Uttar Pradesh,Urban,High,0,0,3,9,15,1,1,4,1
Data Science,Telangana,Urban,High,8,82,2,5,18,0,1,2,3
Skilled Trades,Bihar,Urban,High,0,0,0,19,3,13,5,2,3
Technology,Delhi,Semi-Urban,High,6,157,2,6,12,2,5,5,0
Business,Kerala,Semi-Urban,Medium,0,0,2,9,7,2,3,6,5
Social & Community Work,Bihar,Semi-Urban,Low,0,0,0,8,5,11,2,3,1
Data Science,Rajasthan,Rural,Low,2,113,2,4,23,0,6,3,1
Technology,Delhi,Semi-Urban,Medium,9,152,1,8,14,2,3,4,2
Skilled Trades,Kerala,Semi-Urban,High,0,0,0,20,7,23,1,6,2
Business,Bihar,Semi-Urban,Medium,0,0,0,8,13,3,4,3,2
Technology,Punjab,Urban,High,4,149,3,4,13,1,0,3,3
Business,Gujarat,Urban,High,0,0,2,11,10,2,8,1,2
Data Science,Odisha,Rural,Medium,9,114,2,5,24,0,4,2,2
Skilled Trades,Telangana,Semi-Urban,Medium,0,0,0,9,5,22,4,2,0
Data Science,Punjab,Rural,Low,0,102,3,9,22,0,4,1,3
Technology,Odisha,Urban,High,7,144,2,3,17,1,3,3,3
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,9,4,20,1,5,6
Skilled Trades,Bihar,Rural,Low,0,0,0,16,5,20,2,3,2
Creative Arts,Maharashtra,Urban,Medium,2,0,0,6,11,2,1,2,2
Creative Arts,Telangana,Urban,High,0,0,0,14,7,5,2,6,1
Skilled Trades,Kerala,Urban,High,0,0,0,16,5,20,0,3,3
Skilled Trades,Uttar Pradesh,Rural,Low,0,0,0,14,5,15,1,2,1
Business,West Bengal,Semi-Urban,High,0,0,0,6,8,5,0,3,2
Business,Uttar Pradesh,Urban,High,0,0,0,11,7,1,4,0,1
Social & Community Work,Telangana,Rural,Low,0,0,0,11,5,17,3,3,2
Social & Community Work,Bihar,Urban,High,0,0,0,9,10,11,4,5,1
Business,Kerala,Urban,High,0,0,1,10,5,2,7,3,2
Business,Telangana,Rural,Medium,0,5000,2,0,0,1,2,1,0
Social & Community Work,Gujarat,Semi-Urban,Low,0,0,0,6,5,15,3,4,1
Skilled Trades,Telangana,Rural,Low,0,0,0,15,3,20,2,6,4
Business,Maharashtra,Rural,Medium,0,0,0,6,10,2,5,5,2
Data Science,Gujarat,Semi-Urban,Medium,6,99,4,10,25,0,2,1,2
Data Science,Other,Urban,High,10,103,5,6,13,0,2,3,2
Creative Arts,Delhi,Urban,Medium,0,0,0,13,10,6,2,6,0
Creative Arts,Punjab,Rural,Low,3,0,0,14,6,7,0,5,2
Skilled Trades,Delhi,Semi-Urban,High,0,0,0,15,8,18,1,4,1
Creative Arts,Tamil Nadu,Rural,Medium,0,0,0,17,16,2,7,1,3
Business,Kerala,Semi-Urban,High,0,0,3,6,12,3,5,4,3
Business,Odisha,Urban,High,0,0,1,9,10,3,6,5,2
Business,Punjab,Urban,High,0,0,2,4,7,2,0,7,1
Business,Kerala,Rural,Medium,0,0,0,5,9,4,1,4,5
Creative Arts,Odisha,Semi-Urban,Medium,0,0,0,10,11,5,2,1,1
Creative Arts,Maharashtra,Rural,Medium,1,0,0,7,10,3,3,2,1
Social & Community Work,Maharashtra,Rural,Low,0,0,0,7,6,14,4,4,1
Data Science,Bihar,Semi-Urban,Low,6,91,2,6,14,0,2,1,3
Business,West Bengal,Rural,Medium,0,0,1,2,10,3,0,3,2
Technology,Rajasthan,Rural,Low,7,135,0,1,21,0,1,2,1
Skilled Trades,Gujarat,Semi-Urban,Medium,0,0,0,11,6,18,4,4,1
Technology,Rajasthan,Urban,High,6,138,1,7,15,1,3,4,1
Technology,Madhya Pradesh,Semi-Urban,Low,4,148,3,3,8,0,7,3,1
Data Science,West Bengal,Rural,Low,4,113,3,6,13,0,1,1,5
Business,Gujarat,Semi-Urban,Medium,0,0,0,8,12,2,5,5,1
Skilled Trades,West Bengal,Semi-Urban,Medium,0,0,0,15,5,30,3,5,0
Skilled Trades,Karnataka,Semi-Urban,High,0,0,0,19,3,23,3,6,1
Skilled Trades,Karnataka,Urban,High,0,0,0,17,5,21,0,4,4
Business,Madhya Pradesh,Urban,Low,0,0,1,8,12,0,3,4,2
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,16,9,18,0,0,1
Social & Community Work,Rajasthan,Urban,High,0,0,0,8,2,14,5,3,2
Business,Rajasthan,Semi-Urban,High,0,0,2,7,6,2,0,2,2
Creative Arts,Tamil Nadu,Urban,High,0,0,0,15,14,9,2,2,3
Data Science,Karnataka,Urban,High,4,83,4,6,14,0,4,2,1
Technology,Bihar,Rural,Medium,10,160,2,3,14,1,3,4,1
Skilled Trades,Other,Semi-Urban,Medium,0,0,0,11,5,20,4,4,0
Data Science,Uttar Pradesh,Urban,High,4,5000,3,0,0,0,4,1,2
Social & Community Work,Bihar,Rural,Medium,0,0,0,6,5,18,0,4,2
Business,Bihar,Urban,High,0,0,0,11,7,4,1,2,2
Creative Arts,Uttar Pradesh,Urban,Medium,2,0,0,18,14,5,6,7,0
Social & Community Work,Kerala,Urban,High,0,0,0,10,10,5,2,3,4
Creative Arts,West Bengal,Rural,Low,2,0,0,10,13,5,2,3,2
Business,Maharashtra,Urban,Low,0,0,0,9,8,1,5,2,1
Social & Community Work,Other,Semi-Urban,Medium,0,0,0,2,11,21,0,3,2
Technology,Punjab,Rural,Medium,12,148,5,6,15,1,7,3,4
Creative Arts,Other,Urban,High,0,0,0,12,9,4,3,2,0
Social & Community Work,Telangana,Urban,High,0,0,0,12,7,13,1,4,3
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,3,7,12,5,2,0
Skilled Trades,Uttar Pradesh,Rural,Low,0,0,0,15,5,14,0,5,4
Social & Community Work,West Bengal,Rural,Low,0,0,0,13,5,20,2,4,3
Skilled Trades,West Bengal,Rural,Medium,0,0,0,23,4,18,6,2,2
Creative Arts,Uttar Pradesh,Semi-Urban,High,2,0,0,13,16,8,2,2,1
Skilled Trades,Other,Urban,High,0,0,0,15,3,19,3,0,2
Social & Community Work,Maharashtra,Urban,High,0,0,0,13,8,17,1,2,1
Social & Community Work,West Bengal,Rural,Low,0,0,0,5,10,14,3,1,3
Data Science,Kerala,Urban,High,2,111,4,4,24,0,1,4,4
Social & Community Work,Kerala,Rural,Medium,0,0,0,13,8,13,1,1,4
Business,Bihar,Urban,High,0,0,2,13,16,0,0,6,2
Data Science,Maharashtra,Rural,Low,7,110,6,4,22,0,5,2,1
Technology,Delhi,Rural,Medium,8,155,4,6,18,0,3,3,4
Creative Arts,Maharashtra,Semi-Urban,Medium,2,0,0,9,10,2,5,4,0
Technology,Punjab,Urban,High,3,145,1,6,18,0,4,4,0
Technology,Madhya Pradesh,Urban,High,10,149,2,4,9,1,5,1,0
Technology,Delhi,Urban,High,4,153,2,2,14,2,2,1,1
Technology,Kerala,Urban,High,8,131,1,5,11,0,2,2,4
Skilled Trades,Madhya Pradesh,Urban,High,0,0,0,8,4,16,4,4,2
Creative Arts,Bihar,Rural,Low,2,0,0,12,13,5,0,2,2
Data Science,Punjab,Semi-Urban,Low,2,100,0,6,22,0,2,0,3
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,13,7,14,5,4,2
Data Science,Punjab,Urban,High,3,106,6,6,21,0,4,2,2
Data Science,Odisha,Urban,Medium,5,5000,5,0,0,0,0,6,1
Social & Community Work,Madhya Pradesh,Rural,Low,0,0,0,9,4,14,0,0,1
Social & Community Work,Bihar,Urban,Low,0,0,0,6,11,15,2,4,2
Creative Arts,Bihar,Urban,Low,1,0,0,17,10,3,5,0,0
Creative Arts,Punjab,Semi-Urban,Medium,1,0,0,14,10,1,3,1,1
Technology,Punjab,Urban,High,11,159,0,3,11,1,0,2,4
Skilled Trades,Uttar Pradesh,Rural,Low,0,0,0,12,6,22,3,4,1
Data Science,Gujarat,Rural,Medium,3,102,3,4,23,0,4,4,0
Social & Community Work,Odisha,Urban,High,0,0,0,10,6,15,1,2,2
Technology,Maharashtra,Urban,Medium,8,156,1,4,17,1,2,3,1
Creative Arts,Madhya Pradesh,Urban,High,2,0,0,11,17,6,2,2,6
Social & Community Work,West Bengal,Urban,Medium,0,0,0,8,10,18,5,6,2
Social & Community Work,Gujarat,Semi-Urban,Low,0,0,0,18,6,11,2,2,1
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,14,3,16,3,7,0
Data Science,Uttar Pradesh,Rural,Medium,3,89,2,5,17,0,3,6,0
Social & Community Work,Uttar Pradesh,Rural,Low,0,0,0,5,15,16,5,3,4
Creative Arts,Gujarat,Semi-Urban,Low,0,0,0,15,13,4,1,6,2
Technology,Odisha,Rural,Low,11,148,1,6,18,0,1,1,4
Skilled Trades,Delhi,Rural,Medium,0,0,0,13,5,18,1,3,3
Creative Arts,Gujarat,Rural,Medium,0,0,0,9,4,3,6,7,1
Skilled Trades,Punjab,Rural,Medium,0,0,0,13,5,21,2,2,2
Creative Arts,Odisha,Semi-Urban,Low,1,0,0,6,22,5,2,6,2
Business,Uttar Pradesh,Urban,High,0,0,1,9,11,3,2,2,2
Social & Community Work,Karnataka,Urban,High,0,0,0,12,7,19,2,7,3
Social & Community Work,Maharashtra,Rural,High,0,0,0,8,8,26,5,3,4
Skilled Trades,Tamil Nadu,Urban,High,0,0,0,14,6,22,4,2,1
Business,Gujarat,Semi-Urban,Medium,0,0,0,8,9,3,0,2,4
Data Science,Gujarat,Urban,High,5,109,3,9,18,0,4,4,6
Creative Arts,Madhya Pradesh,Semi-Urban,High,1,0,0,10,9,3,5,1,4
Data Science,Karnataka,Semi-Urban,Medium,4,117,4,7,18,0,5,3,3
Creative Arts,Other,Urban,High,4,0,0,10,7,6,1,2,3
Social & Community Work,Gujarat,Rural,Low,0,0,0,15,7,14,5,1,3
Data Science,Madhya Pradesh,Semi-Urban,Low,2,97,3,1,17,0,3,3,1
Creative Arts,Karnataka,Rural,Low,2,0,0,10,6,5,3,2,3
Technology,Kerala,Rural,High,10,140,1,9,10,1,2,2,1
Technology,Rajasthan,Semi-Urban,Medium,10,163,4,6,12,4,3,4,4
Business,Maharashtra,Urban,High,0,0,2,10,11,2,3,0,3
Social & Community Work,Odisha,Urban,Medium,0,0,0,14,9,22,4,4,1
Business,Odisha,Rural,Low,0,0,0,10,11,1,1,2,2
Technology,Gujarat,Urban,High,9,154,2,6,13,1,4,2,2
Business,Tamil Nadu,Urban,High,0,0,1,10,13,2,0,1,2
Social & Community Work,Uttar Pradesh,Rural,Low,0,0,0,11,5,16,5,4,3
Creative Arts,Madhya Pradesh,Rural,Medium,0,0,0,15,15,1,4,3,2
Creative Arts,West Bengal,Rural,Low,1,0,0,12,9,5,0,5,3
Creative Arts,Rajasthan,Rural,Medium,0,0,0,14,13,7,2,2,4
Social & Community Work,Maharashtra,Rural,High,0,5000,0,0,0,15,2,3,3
Technology,Telangana,Rural,Low,5,179,3,2,15,3,6,1,0
Creative Arts,Maharashtra,Rural,Low,0,0,0,7,4,5,5,4,3
Skilled Trades,Punjab,Semi-Urban,Low,0,0,0,19,4,19,0,3,0
Data Science,Odisha,Rural,Low,2,96,5,5,16,0,1,4,7
Skilled Trades,Tamil Nadu,Semi-Urban,Low,0,0,0,18,8,26,0,2,1
Technology,Gujarat,Semi-Urban,High,8,142,2,4,20,3,5,5,5
Skilled Trades,Odisha,Semi-Urban,Low,0,0,0,17,10,18,3,2,1
Data Science,Other,Rural,Medium,2,82,5,0,20,0,2,4,1
Technology,Gujarat,Urban,Medium,4,150,1,2,11,1,4,1,2
Business,Uttar Pradesh,Semi-Urban,Medium,0,0,2,12,15,4,2,1,3
Data Science,Bihar,Rural,Medium,5,85,1,8,17,0,4,4,1
Social & Community Work,Uttar Pradesh,Urban,Low,0,0,0,8,9,14,4,4,1
Skilled Trades,Uttar Pradesh,Semi-Urban,Medium,0,0,0,18,5,13,5,5,2
Technology,Tamil Nadu,Semi-Urban,Medium,8,5000,1,0,0,2,2,1,0
Skilled Trades,Odisha,Rural,Low,0,0,0,17,2,18,1,6,0
Data Science,Punjab,Urban,Low,2,100,4,8,22,0,2,1,2
Creative Arts,Delhi,Rural,Low,1,0,0,11,17,6,4,3,1
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,8,5,18,3,1,2
Skilled Trades,West Bengal,Urban,High,0,0,0,15,2,16,2,4,1
Data Science,Tamil Nadu,Semi-Urban,Medium,0,110,1,8,25,0,7,4,2
Social & Community Work,Telangana,Urban,Medium,0,0,0,10,3,13,5,4,2
Creative Arts,Tamil Nadu,Urban,High,2,5000,0,0,0,7,6,4,2
Social & Community Work,Bihar,Urban,Medium,0,0,0,12,4,14,6,3,0
Business,Tamil Nadu,Semi-Urban,High,0,0,1,12,11,2,6,2,2
Skilled Trades,Kerala,Urban,High,0,0,0,13,1,26,4,5,1
Data Science,Other,Urban,High,6,91,4,2,13,0,6,3,1
Technology,Rajasthan,Semi-Urban,High,7,164,2,6,8,1,0,4,1
Skilled Trades,West Bengal,Rural,Low,0,0,0,12,8,10,3,3,0
Skilled Trades,Odisha,Semi-Urban,High,0,0,0,14,3,22,1,1,1
Creative Arts,Punjab,Urban,Medium,0,0,0,8,15,7,2,1,1
Technology,Madhya Pradesh,Semi-Urban,High,11,149,1,3,8,2,4,6,0
Data Science,Odisha,Semi-Urban,Medium,10,86,5,8,31,0,2,3,1
Creative Arts,Madhya Pradesh,Urban,Medium,0,0,0,12,7,1,4,2,2
Skilled Trades,West Bengal,Semi-Urban,Low,0,0,0,10,6,23,1,2,2
Technology,Uttar Pradesh,Semi-Urban,Medium,11,159,3,4,20,2,2,4,4
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,15,6,17,0,4,4
Skilled Trades,Madhya Pradesh,Semi-Urban,Low,0,0,0,23,5,24,4,2,4
Data Science,Telangana,Rural,Low,9,102,5,9,14,0,4,5,2
Technology,Maharashtra,Urban,High,6,144,0,1,10,1,4,3,2
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,9,3,14,0,3,3
Technology,Bihar,Semi-Urban,High,5,138,2,4,10,1,2,3,1
Business,Maharashtra,Rural,High,0,0,2,14,14,1,1,6,3
Creative Arts,West Bengal,Urban,High,0,0,0,12,11,6,0,8,1
Business,Gujarat,Urban,High,0,0,1,6,6,2,1,5,3
Data Science,Telangana,Semi-Urban,Medium,4,109,3,4,20,0,4,3,1
Creative Arts,Kerala,Urban,High,3,0,0,15,1,7,3,2,3
Business,Madhya Pradesh,Urban,High,0,0,0,11,12,2,6,4,5
Social & Community Work,Gujarat,Urban,Low,0,0,0,7,6,12,4,9,1
Data Science,Uttar Pradesh,Urban,Low,1,94,3,8,19,0,7,4,1
Data Science,Kerala,Urban,Medium,5,111,1,7,16,0,1,5,3
Data Science,Telangana,Semi-Urban,Medium,2,90,2,5,18,0,1,4,1
Skilled Trades,Maharashtra,Urban,High,0,0,0,13,4,18,6,3,2
Data Science,Punjab,Rural,Low,4,111,0,10,11,0,3,3,3
Social & Community Work,Delhi,Semi-Urban,Low,0,0,0,9,7,9,2,3,2
Social & Community Work,Madhya Pradesh,Rural,Medium,0,0,0,14,8,21,0,2,0
Creative Arts,Telangana,Urban,Medium,1,0,0,12,13,10,0,5,3
Technology,Bihar,Semi-Urban,Medium,6,145,0,4,6,0,4,3,0
Creative Arts,Bihar,Rural,Medium,0,0,0,13,16,4,5,0,3
Creative Arts,Punjab,Urban,High,0,0,0,8,9,6,4,4,5
Business,Rajasthan,Urban,High,0,0,2,12,8,2,1,3,4
Business,Tamil Nadu,Urban,High,0,0,1,11,9,4,6,3,2
Creative Arts,Tamil Nadu,Semi-Urban,Medium,1,0,0,10,19,8,7,3,2
Social & Community Work,Other,Rural,High,0,0,0,12,10,19,2,0,3
Creative Arts,Other,Semi-Urban,High,0,0,0,6,12,5,0,2,3
Data Science,Delhi,Semi-Urban,Medium,5,105,3,10,24,0,0,5,0
Data Science,Rajasthan,Semi-Urban,Medium,4,108,6,5,25,0,2,2,1
Data Science,West Bengal,Urban,High,7,94,1,7,24,0,2,3,3
Skilled Trades,Telangana,Rural,Low,0,0,0,18,4,16,4,2,1
Creative Arts,Telangana,Rural,Medium,2,0,0,17,10,7,0,2,1
Technology,Tamil Nadu,Urban,Medium,4,146,1,7,18,0,0,2,3
Creative Arts,Odisha,Urban,High,1,0,0,22,12,4,0,2,2
Technology,Rajasthan,Urban,High,7,134,2,2,10,1,2,1,1
Skilled Trades,Karnataka,Urban,Medium,0,0,0,8,6,15,1,2,2
Business,Delhi,Rural,Low,0,0,5,10,5,5,0,4,2
Technology,Gujarat,Rural,Low,6,145,0,5,16,1,0,3,4
Skilled Trades,Other,Urban,High,0,0,0,16,7,22,0,2,0
Skilled Trades,Maharashtra,Urban,High,0,0,0,15,0,27,6,4,3
Technology,Other,Urban,Medium,1,166,1,4,18,2,3,2,4
Technology,Maharashtra,Semi-Urban,Low,7,154,1,7,10,0,1,0,1
Skilled Trades,Rajasthan,Semi-Urban,Medium,0,0,0,17,4,19,1,5,2
Data Science,Odisha,Rural,Medium,5,105,3,8,26,0,5,2,6
Technology,Punjab,Rural,Low,7,145,2,3,13,0,7,5,2
Technology,Uttar Pradesh,Urban,High,10,152,3,6,11,2,2,1,1
Business,Kerala,Rural,Low,0,0,1,8,12,2,3,1,1
Creative Arts,Punjab,Rural,Low,2,0,0,10,11,3,0,1,4
Creative Arts,Tamil Nadu,Rural,High,0,0,0,12,10,7,5,3,4
Technology,Rajasthan,Urban,Low,12,131,3,5,25,0,5,3,4
Creative Arts,Odisha,Rural,Low,2,0,0,15,12,2,3,3,3
Social & Community Work,Rajasthan,Semi-Urban,Medium,0,0,0,8,8,11,2,6,2
Social & Community Work,West Bengal,Rural,Medium,0,0,0,18,10,15,1,1,3
Skilled Trades,Karnataka,Urban,Low,0,0,0,17,5,19,5,0,0
Business,Telangana,Semi-Urban,Medium,0,0,2,4,9,2,3,2,3
Technology,Madhya Pradesh,Rural,High,4,158,1,7,23,0,1,3,1
Social & Community Work,Tamil Nadu,Semi-Urban,Medium,0,0,0,9,8,15,3,2,4
Business,Odisha,Rural,Low,0,0,1,9,10,1,3,5,4
Social & Community Work,Odisha,Urban,High,0,0,0,13,6,9,1,3,1
Creative Arts,Telangana,Semi-Urban,High,2,0,0,9,11,3,1,3,2
Technology,Tamil Nadu,Urban,High,4,167,1,4,24,2,1,1,3
Creative Arts,Karnataka,Semi-Urban,Low,0,0,0,11,14,5,6,3,0
Business,Tamil Nadu,Semi-Urban,High,0,0,0,7,13,1,1,2,1
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,16,6,23,4,2,4
Creative Arts,Other,Urban,High,1,0,0,10,13,5,2,4,3
Data Science,Punjab,Urban,High,3,103,2,5,28,0,1,3,2
Social & Community Work,Madhya Pradesh,Semi-Urban,Medium,0,0,0,14,8,14,5,2,0
Social & Community Work,Maharashtra,Urban,Medium,0,0,0,11,9,9,5,3,0
Data Science,Tamil Nadu,Semi-Urban,High,9,104,3,4,20,0,5,5,1
Data Science,Telangana,Semi-Urban,Low,3,91,1,4,25,0,2,2,3
Business,Tamil Nadu,Rural,Medium,0,0,1,9,5,1,3,9,6
Business,West Bengal,Rural,Medium,0,0,0,8,12,3,1,2,1
Business,Uttar Pradesh,Urban,High,0,5000,3,0,0,1,0,3,2
Technology,Telangana,Urban,Medium,6,5000,4,0,0,0,0,3,0
Social & Community Work,Other,Semi-Urban,Medium,0,0,0,9,8,19,0,1,4
Technology,Rajasthan,Rural,Low,6,5000,4,0,0,1,5,2,2
Social & Community Work,Other,Rural,High,0,0,0,8,7,11,3,4,1
Creative Arts,Gujarat,Urban,High,1,0,0,12,18,3,2,2,4
Technology,Rajasthan,Semi-Urban,High,5,141,1,1,19,2,2,4,1
Skilled Trades,Kerala,Semi-Urban,Low,0,0,0,16,0,19,5,2,2
Skilled Trades,Kerala,Urban,High,0,0,0,14,8,23,3,3,4
Data Science,Uttar Pradesh,Urban,High,4,105,2,8,12,0,4,1,1
Data Science,Telangana,Urban,High,7,106,2,10,18,0,3,1,3
Skilled Trades,Delhi,Semi-Urban,Medium,0,0,0,21,3,23,0,1,0
Skilled Trades,Uttar Pradesh,Rural,Medium,0,0,0,18,6,20,3,1,3
Creative Arts,Madhya Pradesh,Semi-Urban,High,0,0,0,9,8,8,0,0,3
Creative Arts,Uttar Pradesh,Semi-Urban,High,0,0,0,15,12,4,1,7,2
Skilled Trades,Telangana,Rural,Low,0,0,0,12,0,21,4,3,2
Social & Community Work,Maharashtra,Rural,Medium,0,0,0,13,3,16,4,6,3
Creative Arts,Madhya Pradesh,Semi-Urban,Medium,1,0,0,14,7,6,4,3,1
Creative Arts,Bihar,Rural,Low,1,0,0,12,11,11,6,2,2
Social & Community Work,Delhi,Semi-Urban,Medium,0,0,0,12,10,24,0,4,4
Social & Community Work,Other,Semi-Urban,Low,0,0,0,12,14,18,0,5,0
Data Science,Punjab,Rural,High,6,103,3,6,27,0,3,1,2
Data Science,Uttar Pradesh,Rural,Medium,6,107,4,9,20,0,3,5,1
Data Science,Rajasthan,Semi-Urban,Medium,2,111,2,5,15,0,1,4,2
Business,Kerala,Semi-Urban,Medium,0,0,2,5,10,3,2,4,2
Technology,Other,Urban,High,5,161,2,7,22,0,1,1,1
Skilled Trades,West Bengal,Urban,High,0,0,0,17,7,26,1,3,1
Social & Community Work,Uttar Pradesh,Urban,Medium,0,0,0,11,16,17,5,7,2
Social & Community Work,Karnataka,Urban,High,0,0,0,15,7,15,0,1,4
Creative Arts,Uttar Pradesh,Semi-Urban,Low,0,0,0,13,13,5,1,3,1
Skilled Trades,Bihar,Rural,Medium,0,0,0,25,2,19,5,0,3
Skilled Trades,Bihar,Rural,Low,0,0,0,18,2,19,3,1,2
Business,Delhi,Rural,Low,0,0,2,3,6,2,0,4,3
Business,Delhi,Rural,High,0,0,1,7,8,2,3,5,3
Business,Uttar Pradesh,Semi-Urban,High,0,0,0,10,11,3,5,4,2
Data Science,Uttar Pradesh,Semi-Urban,High,7,5000,3,0,0,0,3,3,3
Social & Community Work,Punjab,Rural,Low,0,0,0,14,7,15,3,4,3
Social & Community Work,Madhya Pradesh,Rural,Medium,0,0,0,10,7,12,3,4,1
Skilled Trades,Gujarat,Rural,Low,0,0,0,15,5,20,8,1,0
Social & Community Work,Bihar,Rural,Medium,0,0,0,7,7,20,6,1,1
Social & Community Work,West Bengal,Urban,High,0,0,0,11,6,12,0,4,2
Social & Community Work,Gujarat,Urban,Medium,0,0,0,11,7,16,4,2,1
Skilled Trades,Madhya Pradesh,Rural,High,0,0,0,11,4,30,3,3,0
Business,Uttar Pradesh,Rural,Low,0,0,0,7,10,2,1,2,4
Skilled Trades,Gujarat,Urban,High,0,0,0,12,3,16,2,5,2
Creative Arts,Rajasthan,Urban,Medium,1,0,0,10,9,6,0,5,1
Data Science,Uttar Pradesh,Rural,High,6,96,2,5,22,0,2,5,3
Data Science,Uttar Pradesh,Semi-Urban,High,3,101,0,3,19,0,2,3,0
Data Science,Madhya Pradesh,Rural,Medium,4,80,2,10,12,0,3,9,0
Creative Arts,Rajasthan,Urban,Medium,2,0,0,20,3,5,1,4,1
Social & Community Work,Kerala,Semi-Urban,High,0,0,0,8,10,16,2,2,4
Business,Madhya Pradesh,Rural,Low,0,0,1,4,11,2,2,6,1
Data Science,Rajasthan,Urban,High,6,94,1,8,18,0,0,3,0
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,12,7,16,2,5,2
Data Science,Odisha,Semi-Urban,Low,6,96,5,6,19,0,4,1,2
Social & Community Work,Madhya Pradesh,Rural,Low,0,0,0,6,2,15,2,0,1
Technology,Gujarat,Semi-Urban,Low,10,164,1,5,20,1,6,3,3
Business,Karnataka,Rural,Low,0,0,2,9,13,3,2,2,2
Technology,Tamil Nadu,Semi-Urban,Medium,10,149,2,5,8,0,3,3,1
Business,Gujarat,Semi-Urban,High,0,0,0,11,12,2,5,1,1
Technology,Other,Semi-Urban,High,7,125,3,5,21,0,5,2,1
Social & Community Work,Bihar,Rural,Low,0,0,0,10,7,12,4,3,2
Data Science,Odisha,Semi-Urban,High,3,99,3,8,16,0,5,6,4
Business,Madhya Pradesh,Semi-Urban,Medium,0,0,2,7,14,2,0,2,3
Technology,Odisha,Urban,Medium,10,168,2,6,13,0,0,2,0
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,10,6,20,1,3,2
Business,Telangana,Semi-Urban,High,0,0,3,6,6,2,6,4,2
Business,Uttar Pradesh,Semi-Urban,High,0,0,0,12,16,1,3,1,3
Technology,Punjab,Semi-Urban,Low,10,148,1,4,14,1,1,2,3
Skilled Trades,Gujarat,Semi-Urban,High,0,0,0,7,5,20,3,2,2
Technology,Punjab,Urban,High,6,150,0,10,16,2,1,4,5
Social & Community Work,Bihar,Rural,Low,0,0,0,9,9,16,0,3,0
Skilled Trades,Bihar,Urban,Medium,0,0,0,12,4,14,2,4,0
Creative Arts,Rajasthan,Semi-Urban,Medium,1,0,0,12,11,1,2,6,1
Data Science,Maharashtra,Urban,High,2,109,2,5,21,0,2,5,4
Business,Maharashtra,Urban,High,0,0,0,12,4,2,1,2,2
Data Science,Madhya Pradesh,Rural,Medium,6,98,3,3,23,0,1,2,3
Data Science,Madhya Pradesh,Urban,High,2,91,2,2,20,0,6,4,3
Data Science,Gujarat,Rural,Medium,6,104,2,6,21,0,3,2,2
Skilled Trades,Rajasthan,Urban,Low,0,0,0,16,5,9,3,3,1
Data Science,Rajasthan,Urban,Medium,6,85,3,4,11,0,4,4,3
Creative Arts,Punjab,Semi-Urban,High,1,0,0,16,11,5,1,3,2
Skilled Trades,Telangana,Urban,High,0,0,0,17,4,22,4,1,3
Business,Uttar Pradesh,Rural,Medium,0,0,1,5,11,0,3,2,1
Creative Arts,Delhi,Semi-Urban,Medium,1,0,0,12,9,4,6,1,4
Skilled Trades,Uttar Pradesh,Rural,Medium,0,0,0,11,5,17,5,2,2
Technology,Maharashtra,Rural,Low,10,166,1,4,9,1,3,4,3
Creative Arts,Other,Semi-Urban,High,2,0,0,18,22,10,5,4,4
Social & Community Work,Odisha,Urban,High,0,0,0,14,1,13,9,2,3
Technology,Madhya Pradesh,Urban,High,19,140,4,4,14,0,4,2,3
Data Science,Punjab,Rural,Low,6,92,6,4,24,0,3,3,4
Technology,Other,Semi-Urban,Medium,4,176,1,5,17,1,5,3,2
Social & Community Work,Gujarat,Rural,Medium,0,0,0,13,11,19,2,1,2
Data Science,Punjab,Urban,High,8,89,4,2,17,0,5,6,1
Social & Community Work,Madhya Pradesh,Urban,Medium,0,0,0,6,11,14,4,2,0
Creative Arts,Tamil Nadu,Rural,Low,0,0,0,18,16,1,2,5,3
Skilled Trades,Rajasthan,Rural,Low,0,0,0,20,5,19,3,3,2
Skilled Trades,Maharashtra,Semi-Urban,Low,0,0,0,6,4,22,3,5,1
